Body Type,Event Type,Preferred Colors,Season,Fabric Type,Gender,Price Range,Occasion Suitability Score,Style Category
Inverted Triangle,Casual,"['Neutral', 'Silver', 'Blue']",Summer,Silk,Female,Mid-range,7.1,Bohemian
Hourglass,Formal,"['Silver', 'Neutral']",Fall,Silk,Male,Mid-range,9.5,Glam
Pear,Casual,"['Red', 'Silver']",Winter,Polyester,Unisex,Budget,6.9,Business Casual
Hourglass,Casual,['White'],Fall,Cotton,Male,Budget,2.3,Business Casual
Pear,Formal,"['Silver', 'Red']",Winter,Wool,Male,Mid-range,5.0,Formal
Rectangle,Party,"['Black', 'Silver']",Fall,Silk,Female,Budget,7.7,Streetwear
Pear,Business,['Black'],Fall,Cotton,Unisex,Luxury,9.4,Formal
Rectangle,Wedding,"['White', 'Black']",Fall,Cotton,Female,Mid-range,6.2,Formal
Rectangle,Business,"['Silver', 'White']",Fall,Silk,Unisex,Luxury,4.6,Formal
Inverted Triangle,Party,"['Red', 'Blue', 'White']",Winter,Denim,Unisex,Luxury,1.6,Streetwear
Rectangle,Business,"['Green', 'Gold']",Summer,Silk,Unisex,Budget,8.3,Formal
Oval,Casual,"['Gold', 'Blue', 'Green']",Summer,Cotton,Female,Budget,6.5,Streetwear
Inverted Triangle,Party,['Black'],Summer,Cotton,Unisex,Mid-range,9.0,Streetwear
Hourglass,Casual,"['Green', 'Blue']",Spring,Polyester,Male,Luxury,3.8,Business Casual
Rectangle,Wedding,"['White', 'Neutral', 'Silver']",Summer,Cotton,Female,Luxury,1.9,Business Casual
Rectangle,Formal,['Green'],Winter,Denim,Male,Luxury,9.8,Business Casual
Oval,Casual,"['Black', 'Red', 'Silver']",Fall,Silk,Unisex,Budget,1.3,Bohemian
Rectangle,Business,"['Gold', 'Black', 'Red']",Summer,Silk,Male,Budget,8.5,Business Casual
Inverted Triangle,Party,"['White', 'Silver', 'Black']",Fall,Cotton,Unisex,Budget,9.8,Streetwear
Oval,Business,['Silver'],Summer,Cotton,Unisex,Budget,5.2,Streetwear
Hourglass,Casual,['Black'],Winter,Polyester,Male,Mid-range,2.3,Glam
Rectangle,Wedding,['Black'],Fall,Cotton,Unisex,Budget,2.7,Bohemian
Hourglass,Formal,['Red'],Winter,Wool,Female,Luxury,5.1,Business Casual
Pear,Wedding,"['Black', 'Neutral', 'Green']",Summer,Polyester,Male,Budget,2.2,Streetwear
Oval,Casual,"['Red', 'White', 'Blue']",Summer,Polyester,Female,Budget,9.2,Formal
Oval,Business,['Neutral'],Spring,Cotton,Female,Mid-range,2.8,Bohemian
Pear,Casual,['Green'],Winter,Wool,Female,Mid-range,4.6,Formal
Rectangle,Formal,['Gold'],Summer,Silk,Female,Mid-range,2.2,Glam
Oval,Formal,"['Blue', 'Silver', 'Neutral']",Summer,Cotton,Unisex,Luxury,9.2,Formal
Rectangle,Casual,"['Neutral', 'Red']",Winter,Polyester,Male,Budget,2.6,Glam
Inverted Triangle,Business,"['Gold', 'Blue']",Summer,Cotton,Unisex,Mid-range,5.5,Bohemian
Inverted Triangle,Party,"['Black', 'Silver', 'Red']",Fall,Silk,Male,Budget,4.8,Business Casual
Rectangle,Formal,"['Green', 'Blue', 'Silver']",Summer,Polyester,Male,Budget,4.2,Glam
Hourglass,Business,"['Blue', 'Red', 'Gold']",Winter,Wool,Male,Luxury,2.6,Formal
Hourglass,Casual,"['Black', 'Silver', 'White']",Summer,Silk,Female,Luxury,2.3,Formal
Hourglass,Formal,['Black'],Winter,Wool,Unisex,Budget,4.2,Formal
Oval,Casual,"['Blue', 'Black', 'Neutral']",Winter,Denim,Unisex,Budget,5.6,Formal
Hourglass,Casual,"['White', 'Blue', 'Black']",Fall,Cotton,Female,Mid-range,7.6,Bohemian
Rectangle,Wedding,"['Neutral', 'Black']",Spring,Cotton,Male,Luxury,9.5,Streetwear
Rectangle,Formal,"['Silver', 'Neutral']",Summer,Polyester,Unisex,Mid-range,5.4,Formal
Hourglass,Formal,"['White', 'Silver', 'Black']",Winter,Wool,Unisex,Budget,7.3,Formal
Rectangle,Casual,"['Black', 'Neutral']",Spring,Cotton,Male,Luxury,4.4,Formal
Hourglass,Business,"['Black', 'Red']",Spring,Silk,Male,Mid-range,7.0,Glam
Oval,Business,"['Gold', 'Blue']",Fall,Polyester,Male,Luxury,7.0,Formal
Oval,Party,"['Silver', 'Blue', 'Green']",Fall,Silk,Unisex,Luxury,9.7,Bohemian
Rectangle,Party,['Blue'],Fall,Cotton,Male,Luxury,1.2,Streetwear
Inverted Triangle,Formal,"['Red', 'Silver']",Fall,Cotton,Female,Luxury,6.9,Formal
Rectangle,Wedding,['Green'],Fall,Cotton,Male,Budget,8.3,Formal
Hourglass,Party,['Gold'],Summer,Cotton,Unisex,Mid-range,8.6,Formal
Inverted Triangle,Wedding,"['Blue', 'Green']",Summer,Cotton,Unisex,Budget,6.6,Formal
Oval,Casual,['Black'],Spring,Polyester,Unisex,Luxury,6.6,Streetwear
Inverted Triangle,Casual,['Silver'],Winter,Wool,Unisex,Luxury,7.8,Bohemian
Rectangle,Casual,"['Blue', 'Gold', 'Black']",Summer,Polyester,Female,Budget,6.1,Business Casual
Hourglass,Wedding,"['White', 'Blue']",Winter,Polyester,Unisex,Budget,4.3,Bohemian
Rectangle,Business,['Silver'],Winter,Denim,Female,Luxury,8.3,Bohemian
Pear,Casual,"['Green', 'Neutral']",Fall,Cotton,Female,Luxury,6.5,Bohemian
